제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
KAIST 설명가능 인공지능 연구센터 연구교원 채용 공고,한국과학기술원,"사업관리,전기.전자,정보통신,연구",비정규직,박사,신입+경력,경기,1,22.06.15 ~ 22.07.15
한국남부발전(주) 2022년 체험형 인턴 채용공고,한국남부발전(주),"경영.회계.사무,건설,기계,전기.전자,정보통신,환경.에너지.안전",청년인턴(체험형),학력무관,신입,"인천,부산,강원,경북,경남,제주,세종",118,22.06.15 ~ 22.06.30
한전KDN(주) 광주전남사업처 일용근로자(장애인) 채용 공고(추가모집),한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,광주,1,22.06.15 ~ 22.06.29
한전KDN(주) 경북사업처 배전사업팀 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,1,22.06.14 ~ 22.06.28
한전KDN(주) 전북사업처 AMI분야 일용근로자 채용 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,전북,8,22.06.14 ~ 22.06.28
한전KDN 충북사업처 5-1차 AMI통신망 시설공사 일용근로자 모집 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,충북,7,22.06.14 ~ 22.06.29
한전KDN(주) 제주사업처 배전분야 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,제주,1,22.06.13 ~ 22.06.27
한전KDN(주) 목포지사 AMI 일괄위탁유지보수 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,전남,1,22.06.13 ~ 22.06.27
전문직(계약직) 채용공고(정보운영),주택관리공단(주),"경영.회계.사무,정보통신",비정규직,학력무관,신입+경력,경남,1,22.06.13 ~ 22.06.27
"[채용공고 제2022-08호] 한국특허전략개발원 직원 채용 공고 (공개경쟁, 장애인제한경쟁)",한국특허전략개발원,"사업관리,경영.회계.사무,보건.의료,기계,화학,전기.전자,정보통신","비정규직,청년인턴(체험형)","학력무관,대졸(4년),석사,박사",신입+경력,"서울,세종",19,22.06.13 ~ 22.06.28
[한국수자원공사] 거제권지사 특수직(수탁운영_지방상수도 시설운영) 채용 공고,한국수자원공사,"기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경남,1,22.06.13 ~ 22.06.20
[채용공고 제2022-07호] 한국특허전략개발원 직원 채용 공고,한국특허전략개발원,"정보통신,환경.에너지.안전",무기계약직,"학력무관,대졸(4년),석사",신입+경력,서울,2,22.06.13 ~ 22.06.28
KAIST 정보전자연구소/일상 항시적 건강관리 Earable-IoT 연구센터 시간제위촉연구원 모집 공고,한국과학기술원,정보통신,비정규직,학력무관,신입+경력,대전,1,22.06.10 ~ 22.06.24
제2022-3회 한국과학기술기획평가원 위촉연구직 공개채용,한국과학기술기획평가원,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,기계,재료,화학,섬유.의복,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,"대졸(4년),석사,박사",신입+경력,"대전,충북",21,22.06.10 ~ 22.06.24
제2022-2회 한국과학기술기획평가원 체험형 청년인턴 공개채용,한국과학기술기획평가원,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,기계,재료,화학,섬유.의복,전기.전자,정보통신,환경.에너지.안전,연구",청년인턴(체험형),학력무관,신입,충북,16,22.06.10 ~ 22.06.24
한전KDN(주) 제주사업처 배전공가 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,제주,2,22.06.11 ~ 22.06.26
[한국수자원공사] 낙동강유역관리처 단기계약근로자(발전통합운영_교대근무) 채용 공고(2차),한국수자원공사,"기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,대구,1,22.06.10 ~ 22.06.17
한전KDN(주) 경남사업처 배전사업팀 일용원 채용,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,4,22.06.10 ~ 22.06.24
"[중앙보훈병원] 로봇융합실증사업 기간제 직원(사무직,기술직) 공개채용",한국보훈복지의료공단,"경영.회계.사무,정보통신",비정규직,학력무관,신입+경력,서울,3,22.06.10 ~ 22.06.20
"[중앙보훈병원] 기간제 직원(보건직,기술직,기능직) 공개채용",한국보훈복지의료공단,"보건.의료,정보통신",비정규직,학력무관,신입+경력,서울,4,22.06.10 ~ 22.06.20
한전KDN(주) 경북사업처 AMI분야 일용근로자 채용,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,5,22.06.10 ~ 22.06.24
2022년도 제3차 국립대구과학관 직원 채용 공고,국립대구과학관,"교육.자연.사회과학,경비.청소,기계,정보통신,연구","정규직,무기계약직",학력무관,신입+경력,대구,13,22.06.09 ~ 22.06.23
한전KDN(주) 포항지사 AMI통신망 시설공사 추가 작업원 모집공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,6,22.06.09 ~ 22.06.23
한전KDN(주) 인천사업처 정보통신분야 일용(작업)원 채용 공고,한전KDN,정보통신,비정규직,학력무관,경력,"인천,경기",4,22.06.09 ~ 22.06.23
"국방기술진흥연구소 2022년 상반기 정기 채용 모집 공고[정규직, 무기사업직 분야]",국방기술품질원,"사업관리,경영.회계.사무,교육.자연.사회과학,기계,재료,화학,섬유.의복,전기.전자,정보통신,연구","정규직,무기계약직","대졸(4년),석사,박사",신입+경력,"서울,경남",33,22.06.08 ~ 22.06.22
"[제주지부] 교통계약직(정보통신감리원,행정지원) 채용 공고",도로교통공단,"사업관리,정보통신",비정규직,학력무관,신입+경력,제주,2,22.06.08 ~ 22.06.16
한국투자공사 2022년 제4차 경력직원 채용,한국투자공사,"경영.회계.사무,금융.보험,정보통신",정규직,학력무관,경력,서울,13,22.06.08 ~ 22.06.29
국방기술진흥연구소 2022년 상반기 정기 채용 모집 공고[국방기술PD 분야],국방기술품질원,"사업관리,교육.자연.사회과학,기계,재료,화학,전기.전자,정보통신,연구",비정규직,"대졸(4년),석사,박사",경력,대전,3,22.06.08 ~ 22.06.22
(상시채용) 2022년 기간제계약직(지출자료 전송 분야/기술직) 채용 공고,극지연구소,"정보통신,연구",비정규직,학력무관,신입+경력,인천,1,22.06.08 ~ 22.06.23
"국방기술진흥연구소 2022년 상반기 정기 채용 모집 공고[기간사업직, 기간제일반 분야]",국방기술품질원,"사업관리,교육.자연.사회과학,기계,재료,화학,섬유.의복,전기.전자,정보통신,연구",비정규직,"고졸,대졸(2~3년),대졸(4년),석사",신입+경력,"서울,대전,부산,광주,충북,경북,경남",49,22.06.08 ~ 22.06.22
[한국수자원공사] 전남북부권지사 함평현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,전남,2,22.06.07 ~ 22.06.14
한국전자통신연구원(ETRI) 2022년 3차 위촉연구원 공개채용,한국전자통신연구원,"경영.회계.사무,교육.자연.사회과학,기계,재료,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,"대졸(4년),석사",신입+경력,"대전,경기,경북",32,22.06.07 ~ 22.06.21
한국전자통신연구원(ETRI) 2022년 3차 박사후연수연구원 공개채용,한국전자통신연구원,"경영.회계.사무,교육.자연.사회과학,기계,재료,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,박사,신입+경력,"대전,대구,광주,경기,경북",51,22.06.07 ~ 22.06.21
한전KDN(주) 강원사업처 강릉지사 정보통신설비 유지보수 사업수행 업무 보조 일용근로자 채용,한전KDN,정보통신,비정규직,학력무관,신입+경력,강원,1,22.06.07 ~ 22.06.21
[공무원연금공단] 체험형 청년인턴(장애전형) 채용공고,공무원연금공단,"사업관리,경영.회계.사무,금융.보험,법률.경찰.소방.교도.국방,건설,정보통신",청년인턴(체험형),학력무관,신입,"서울,대전,대구,부산,제주,세종",15,22.06.03 ~ 22.06.17
[본사] 기술직(전산) 공개채용,한국보훈복지의료공단,정보통신,"정규직,비정규직",학력무관,신입+경력,강원,2,22.06.03 ~ 22.06.08
2022년 한국산업기술시험원 2분기 사회형평적 인재(장애인 위촉) 공개모집,한국산업기술시험원,"경영.회계.사무,정보통신,연구",비정규직,학력무관,신입,"서울,경기,강원,경남",10,22.06.03 ~ 22.06.18
서울대학교치과병원 기간제근무자 채용 공고,서울대학교치과병원,"보건.의료,정보통신",비정규직,학력무관,신입+경력,서울,3,22.06.03 ~ 22.06.12
한국체육산업개발(주) 전임직 채용공고,한국체육산업개발(주),"이용.숙박.여행.오락.스포츠,전기.전자,정보통신","무기계약직,비정규직",학력무관,신입+경력,"서울,경기",17,22.06.03 ~ 22.06.17
한전KDN(주) 경북사업처 배전사업팀 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,2,22.06.03 ~ 22.06.17
한국교통안전공단 자동차안전연구원 커넥티드카연구처 위촉연구보조원 채용,한국교통안전공단,"사업관리,기계,전기.전자,정보통신,연구",비정규직,학력무관,신입+경력,경기,2,22.06.02 ~ 22.06.17
2022년 제2차 정규직 채용공고,한국생산기술연구원,"사업관리,경영.회계.사무,정보통신,연구","정규직,무기계약직","대졸(4년),석사,박사",신입+경력,"서울,인천,대구,부산,광주,울산,경기,강원,충남,경북,경남,전북,제주",33,22.06.02 ~ 22.06.17
국립해양생물자원관 2022년 공무직근로자(행정·연구·시설환경) 신규직원 제한경쟁채용 공고,국립해양생물자원관,"경영.회계.사무,음식서비스,기계,전기.전자,정보통신,연구",무기계약직,학력무관,신입+경력,충남,9,22.06.02 ~ 22.06.17
"한국기계연구원 2022년도 제1회 신입직원 공개채용 공고 (출연(연) 공동 채용/행정직, 기술직)",한국기계연구원,"사업관리,경영.회계.사무,기계,전기.전자,정보통신,환경.에너지.안전",정규직,학력무관,신입+경력,"대전,대구,부산,경남",6,22.06.02 ~ 22.06.17
한전KDN(주) 서남네트웍사업부(중부발전) 기간제근로자 채용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,충남,4,22.06.02 ~ 22.06.17
한전KDN(주) 경기사업처 미터링사업분야 작업원 모집공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,41,22.06.02 ~ 22.06.16
2022년 2차 정규직 채용 공고,한국항공우주연구원,"기계,전기.전자,정보통신,연구",정규직,"석사,박사",신입+경력,대전,4,22.06.02 ~ 22.06.17
한국철도기술연구원 2022년 정규직(연구·행정·기술직) 공개채용,한국철도기술연구원,"사업관리,경영.회계.사무,건설,기계,전기.전자,정보통신,환경.에너지.안전,연구",정규직,"대졸(4년),석사,박사",신입+경력,경기,24,22.06.02 ~ 22.06.17
2022년도 KIST 제2차 행정·연구지원부문 공개채용,한국과학기술연구원,"경영.회계.사무,건설,전기.전자,정보통신","정규직,무기계약직",학력무관,신입+경력,서울,10,22.06.02 ~ 22.06.17
2022년도 제2차 중소벤처기업연구원 공개채용 공고,중소벤처기업연구원,"정보통신,연구","정규직,비정규직","대졸(4년),석사,박사",신입+경력,"서울,경기",7,22.06.02 ~ 22.06.17
한국지질자원연구원 2022년 하반기 정규직원 공개채용,한국지질자원연구원,"사업관리,경영.회계.사무,정보통신,환경.에너지.안전,연구",정규직,"학력무관,석사,박사",신입,"대전,경북",17,22.06.02 ~ 22.06.17
[한국표준과학연구원] 2022년 5차 정규직 공개채용,한국표준과학연구원,"경영.회계.사무,기계,화학,전기.전자,정보통신,환경.에너지.안전,연구",정규직,"학력무관,대졸(4년),석사,박사",신입+경력,대전,10,22.06.02 ~ 22.06.17
한전KDN(주) 경기사업처 단기일용원(장애인근로자) 채용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,2,22.05.31 ~ 22.06.14
2022년 제4차 직원 채용공고,농림수산식품교육문화정보원,"사업관리,경영.회계.사무,정보통신","정규직,비정규직,청년인턴(채용형)","고졸,대졸(2~3년),대졸(4년),석사,박사",신입+경력,세종,16,22.05.31 ~ 22.06.16
2022년 한국농업기술진흥원 제1차 전문계약직 채용(제한경쟁) 재공고,한국농업기술진흥원,"사업관리,경영.회계.사무,기계,전기.전자,정보통신,농림어업",비정규직,"학력무관,박사",신입+경력,"경북,전북",3,22.05.31 ~ 22.06.07
한전KDN(주) 원전인프라팀 기간제근로자 채용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경북,1,23.02.03 ~ 23.02.17
[한국수자원공사] 천안권지사 천안현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,충남,1,23.02.02 ~ 23.02.13
2023년 상반기 한국지능정보사회진흥원 무기 및 단기계약직 채용공고,한국지능정보사회진흥원,"사업관리,경영.회계.사무,사회복지.종교,경비.청소,정보통신","무기계약직,비정규직",학력무관,신입+경력,"대구,광주,울산,경기,강원,제주",18,23.02.02 ~ 23.02.16
[한국수자원공사] 단양수도지사 단기계약근로자(지방상수도 시설운영) 채용 공고,한국수자원공사,"사업관리,건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,충북,1,23.02.02 ~ 23.02.09
2023년도 한국폴리텍대학 대전캠퍼스 초빙교원 채용 공고,학교법인한국폴리텍,정보통신,비정규직,"대졸(4년),석사,박사",경력,대전,1,23.02.02 ~ 23.02.08
